kode,uraian,uraian_ai
000,umum;umum,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum"
000.1,ketatausahaan dan kerumahtanggaan;KETATAUSAHAAN DAN KERUMAHTANGGAAN,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan"
000.1.1,telekomunikasi;Telekomunikasi,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> telekomunikasi"
000.1.2,perjalanan dinas dalam negeri;Perjalanan Dinas Dalam Negeri,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas dalam negeri"
000.1.2.1,perjalanan dinas kepala daerah;Perjalanan Dinas Kepala Daerah,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas dalam negeri -> perjalanan dinas kepala daerah"
000.1.2.2,perjalanan dinas dprd;Perjalanan Dinas DPRD,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas dalam negeri -> perjalanan dinas dprd"
000.1.2.3,perjalanan dinas pegawai;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas dalam negeri -> perjalanan dinas pegawai"
000.1.3,perjalanan dinas luar negeri;Perjalanan Dinas Luar Negeri,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas luar negeri"
000.1.3.1,perjalanan dinas kepala daerah;Perjalanan Dinas Kepala Daerah,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas luar negeri -> perjalanan dinas kepala daerah"
000.1.3.2,perjalanan dinas dprd;Perjalanan Dinas DPRD,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas luar negeri -> perjalanan dinas dprd"
000.1.3.3,perjalanan dinas pegawai;Perjalanan Dinas Pegawai,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perjalanan dinas luar negeri -> perjalanan dinas pegawai"
000.1.4,penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> penggunaan fasilitas kantor antara lain permintaan dan penggunaan ruang gedung kendaraan wisma rumah dinas dan fasilitas kantor lainnya"
000.1.5,rapat pimpinan antara lain: notula atau risalah rapat;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> rapat pimpinan antara lain: notula atau risalah rapat"
000.1.6,penyediaan konsumsi;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> penyediaan konsumsi"
000.1.7,pengurusan kendaraan dinas;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pengurusan kendaraan dinas"
000.1.7.1,pengurusan surat-surat kendaraan dinas;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pengurusan kendaraan dinas -> pengurusan surat-surat kendaraan dinas"
000.1.7.2,pemeliharaan dan perbaikan;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pengurusan kendaraan dinas -> pemeliharaan dan perbaikan"
000.1.7.3,pengurusan kehilangan dan masalah kendaraan;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pengurusan kendaraan dinas -> pengurusan kehilangan dan masalah kendaraan"
000.1.8,pemeliharaan gedung taman dan peralatan kantor;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pemeliharaan gedung taman dan peralatan kantor"
000.1.8.1,pertamanan atau landscape     ;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pemeliharaan gedung taman dan peralatan kantor -> pertamanan atau landscape"
000.1.8.2,penghijauan;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pemeliharaan gedung taman dan peralatan kantor -> penghijauan"
000.1.8.3,perbaikan gedung;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pemeliharaan gedung taman dan peralatan kantor -> perbaikan gedung"
000.1.8.4,perbaikan peralatan kantor;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pemeliharaan gedung taman dan peralatan kantor -> perbaikan peralatan kantor"
000.1.8.5,perbaikan rumah dinas atau wisma;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pemeliharaan gedung taman dan peralatan kantor -> perbaikan rumah dinas atau wisma"
000.1.8.6,kebersihan gedung dan taman;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> pemeliharaan gedung taman dan peralatan kantor -> kebersihan gedung dan taman"
000.1.9.1,perbaikan atau pemeliharaan;,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan -> perbaikan atau pemeliharaan"
000.1.9.2       ;Pemasangan,,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan"
000.1.10       ;Ketertiban dan Keamanan,,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan"
000.1.10.2;Laporan Ketertiban dan Keamanan,,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum -> ketatausahaan dan kerumahtanggaan"
